Attach;Comp;Global;Health;Control;MetaCog;Others;Hopeless;OthViews;UttEnum
2;0;2;0;0;0;0;0;2;4689
0;3;0;0;0;0;0;0;0;2864
3;0;0;0;3;0;0;0;0;2084
0;0;3;0;0;0;0;0;0;2160
0;3;0;0;0;0;0;0;0;4550
0;3;0;0;0;0;0;0;0;1544
1;0;0;0;0;0;0;0;0;1334
3;0;0;0;0;0;0;0;0;2228
2;0;0;0;0;0;0;0;2;1323
0;0;0;0;0;0;0;0;0;5407
0;0;0;0;0;0;0;1;0;3590
0;0;0;0;0;0;0;0;0;566
3;0;0;0;0;0;0;1;0;3468
0;0;0;0;0;0;0;0;0;16
0;1;0;0;0;0;0;1;0;2602
0;3;1;0;0;0;0;0;0;233
0;0;0;3;0;0;0;1;0;2493
0;0;3;0;0;0;0;0;0;4068
0;3;0;0;0;0;0;0;0;4362
0;0;3;0;0;0;0;0;1;4397
0;0;0;0;0;2;0;0;0;1804
3;1;0;0;1;0;1;0;0;4681
3;0;0;0;0;0;0;0;0;2055
0;3;0;0;0;0;0;0;0;1492
0;1;0;0;0;0;0;0;3;4101
0;0;3;0;0;0;0;0;0;5577
0;0;0;0;0;0;0;3;0;920
0;0;0;0;0;0;0;0;0;235
0;3;0;0;0;0;0;0;0;4327
0;0;0;0;0;0;0;0;2;1759
0;3;0;0;1;0;0;0;0;5408
0;3;0;0;0;0;0;0;0;3586
0;0;0;0;0;0;0;0;0;3444
0;0;0;0;0;0;0;0;0;686
0;0;1;0;0;0;3;0;0;1083
0;0;0;0;0;0;0;0;1;318
0;0;3;0;0;0;0;0;0;4374
3;0;0;0;0;0;0;0;0;3070
0;3;0;0;0;0;0;1;0;4133
3;0;0;0;0;0;0;1;3;1224
0;0;0;0;0;0;0;3;0;1666
0;0;3;0;0;0;0;0;0;2737
0;0;0;0;0;0;0;0;0;2646
3;0;0;0;0;0;0;0;0;2035
0;0;0;3;0;0;0;1;0;2902
0;0;0;0;0;0;0;0;0;5058
0;0;1;0;0;0;0;0;0;3451
0;3;0;0;0;0;0;0;0;3125
0;3;0;0;0;0;0;0;0;1235
3;0;0;0;0;0;0;0;2;1908
0;3;2;0;0;0;0;0;0;4957
0;3;0;0;0;0;0;0;0;3721
0;3;0;0;0;0;0;0;0;5053
2;0;0;0;0;0;0;0;2;1940
0;3;0;0;0;0;0;0;0;1745
0;0;3;0;0;0;0;0;0;1497
0;1;0;0;2;0;0;0;0;5183
3;0;0;0;0;0;0;0;0;2760
0;0;0;0;0;0;0;0;0;3280
0;3;0;0;0;0;0;0;0;5132
0;0;0;0;0;0;0;0;0;1812
3;0;0;0;0;0;0;0;0;1470
0;0;0;0;0;0;0;0;0;2223
0;0;0;0;2;0;0;2;0;939
1;0;0;0;0;0;0;0;0;3212
0;3;0;0;0;0;0;0;0;5253
0;0;0;0;0;0;0;0;0;1453
2;0;0;0;0;0;0;0;2;3238
0;0;0;0;1;0;0;0;0;801
0;0;3;0;0;0;0;0;0;4017
0;0;0;0;0;0;0;0;3;262
1;0;0;0;0;0;0;0;2;5628
0;0;3;0;0;0;0;0;0;4918
1;0;0;0;0;0;1;0;1;714
0;0;0;1;0;0;0;1;0;2126
0;3;0;0;0;0;0;0;0;5538
0;0;0;3;0;0;0;0;0;2086
0;0;1;0;0;0;2;0;0;3919
3;0;2;0;0;0;0;0;0;5650
0;3;0;0;0;0;0;0;0;4197
0;0;3;0;0;0;0;0;1;856
3;0;0;0;1;0;0;0;0;2933
0;3;0;0;0;0;0;0;0;1928
0;0;3;0;0;0;0;0;0;4209
3;0;0;0;0;0;0;1;0;4642
0;0;0;0;0;0;0;0;0;4896
3;0;0;0;0;0;0;0;2;4308
2;0;0;0;0;0;0;0;0;3349
0;0;0;0;0;0;0;0;0;3047
0;0;0;0;0;0;0;0;0;3945
0;0;0;0;0;0;0;0;2;3652
0;0;0;0;0;0;0;0;2;5245
3;0;0;0;0;0;0;0;0;121
0;0;0;0;0;0;2;0;3;1708
0;0;3;0;2;0;0;1;0;5038
1;1;0;0;0;0;0;0;0;4834
3;0;0;0;0;0;0;0;0;3711
3;0;0;0;0;0;0;0;0;703
3;0;0;0;0;0;0;0;2;4674
3;0;1;0;0;0;0;0;2;1878
3;0;0;0;0;0;0;0;3;643
0;0;0;0;1;0;0;0;0;298
0;1;3;0;0;0;0;1;0;1075
0;3;0;0;0;0;0;0;0;1229
3;0;0;0;0;0;0;0;0;4345
3;0;0;0;0;0;0;0;0;3319
0;0;0;0;0;0;0;0;0;149
0;3;0;0;0;0;0;1;0;1178
0;0;0;0;1;0;2;0;0;1936
0;2;0;0;0;0;0;0;0;4025
0;2;0;0;0;0;0;0;0;4383
0;0;3;0;0;0;0;0;0;4803
0;0;2;0;0;0;0;0;0;1823
0;0;0;0;0;0;0;0;0;5239
0;0;0;0;0;0;0;0;0;4042
3;0;0;0;1;0;0;0;0;622
3;0;0;0;0;0;0;0;0;332
0;0;0;0;0;0;0;0;2;4422
1;1;0;0;0;0;0;0;0;1487
2;0;0;0;0;0;0;0;2;4373
0;3;0;0;0;0;0;1;0;5679
0;0;0;0;0;0;0;0;2;1527
1;1;2;0;0;0;0;0;0;2134
0;2;0;0;0;1;0;0;0;4663
0;0;0;0;0;0;0;0;2;290
0;3;0;0;0;0;0;0;0;2036
0;0;1;0;0;0;0;0;0;1039
0;0;0;0;1;0;0;0;0;4816
0;0;0;0;0;0;0;1;0;4905
0;0;0;0;0;0;0;0;2;788
0;1;0;0;0;0;2;0;0;3735
0;0;3;0;0;0;0;0;0;27
1;0;0;0;0;0;0;0;0;2982
0;0;0;0;0;0;0;0;0;2987
0;0;0;0;0;0;0;0;0;4920
0;0;0;0;1;0;0;1;0;4728
0;3;0;0;0;0;0;0;0;4857
0;3;0;0;0;0;0;0;0;3256
1;3;0;0;1;0;0;2;0;4407
0;0;0;0;2;0;0;0;0;4964
3;0;0;0;0;0;0;0;0;5465
2;0;0;0;0;0;0;0;2;5290
0;1;0;0;0;0;0;0;0;1815
0;0;2;0;0;0;1;0;2;2240
0;0;0;0;0;0;0;0;0;608
0;0;0;0;0;0;0;0;0;2558
1;1;2;0;0;0;0;0;0;3384
0;0;0;0;0;0;0;0;0;5585
0;1;0;0;0;0;0;0;0;599
0;3;0;0;0;0;0;0;0;4304
0;0;0;0;0;0;0;0;0;452
1;0;1;0;0;0;0;0;0;3824
0;2;0;0;0;0;0;0;0;1511
0;2;0;0;0;0;0;0;0;539
0;0;0;3;0;0;0;2;0;488
0;3;0;0;0;0;0;0;0;3750
0;0;0;0;0;0;0;0;0;5193
0;0;0;0;0;0;0;0;0;2373
0;0;0;0;1;0;0;0;0;4449
0;3;0;0;0;0;0;0;0;2467
0;0;0;0;0;0;0;0;2;2669
0;0;0;0;0;0;0;0;2;2645
0;1;0;0;0;0;0;0;0;1608
0;0;3;0;0;0;0;0;0;2596
0;0;0;0;0;0;0;0;0;5015
3;0;0;0;0;0;0;0;2;1430
0;0;3;0;0;0;0;0;0;2300
0;0;3;0;0;0;0;0;0;3307
0;0;3;0;0;0;0;0;0;1842
1;0;0;0;0;0;0;0;2;4251
0;0;1;0;0;2;1;0;0;4012
0;0;0;0;0;0;0;0;0;2787
2;2;0;3;1;0;0;0;0;1437
0;0;0;0;0;0;0;0;0;3217
0;0;0;0;0;0;0;3;0;581
3;0;0;0;0;0;0;0;0;2611
0;0;0;0;0;0;0;0;2;5589
0;3;0;0;0;0;0;0;0;5547
0;0;3;0;0;0;0;0;0;4925
0;0;0;0;0;0;0;0;1;5622
3;0;2;0;0;0;0;0;0;325
0;3;0;0;0;0;0;0;0;3340
0;3;0;0;0;0;0;1;0;1743
1;0;0;0;0;0;0;0;0;585
0;0;2;0;0;0;0;0;0;3134
3;0;0;0;0;0;0;1;0;2572
0;0;0;0;0;0;0;0;0;3596
0;0;2;0;0;0;0;0;0;1361
1;0;0;0;0;0;0;0;1;3982
0;3;0;0;0;0;0;0;0;4504
3;0;0;0;1;0;0;0;0;4916
0;0;0;0;0;0;0;0;0;1333
3;0;1;0;0;0;0;0;0;3112
3;0;0;0;0;0;0;0;0;1318
3;0;0;0;0;0;0;1;3;5069
3;0;3;0;0;0;0;0;0;3742
0;0;0;0;0;0;0;0;0;2666
0;0;0;0;0;0;0;0;0;2262
0;0;0;0;0;0;0;0;3;2236
0;3;0;0;0;0;0;0;0;5390
0;2;0;0;0;0;0;0;0;5268
0;0;3;0;0;0;0;0;0;3081
0;0;0;0;0;0;0;0;0;1971
0;3;0;0;0;0;0;0;0;3327
1;0;0;0;0;0;0;0;0;5572
0;3;0;0;0;0;0;0;0;2924
0;0;0;0;0;0;0;0;0;4041
0;1;0;0;0;0;0;1;0;1933
0;0;3;0;0;0;0;0;0;3530
0;3;0;0;0;0;0;0;0;3334
0;0;0;0;0;0;0;1;0;1775
0;0;0;0;0;0;0;0;3;1618
0;0;3;0;0;0;0;0;0;108
0;0;0;0;0;0;1;0;2;1909
3;0;0;0;1;0;0;0;0;5061
3;0;0;0;0;0;0;0;2;5789
3;0;0;0;0;0;0;0;0;34
0;0;0;0;0;0;0;0;0;242
0;0;3;0;0;0;0;0;0;944
0;1;0;0;0;0;0;0;0;382
1;0;0;0;0;0;0;0;2;744
0;2;0;0;0;0;0;0;0;3776
1;0;0;0;0;0;0;0;0;912
3;0;0;0;0;0;0;0;0;4932
0;0;0;0;0;0;0;0;0;4269
0;3;0;0;0;0;0;0;0;5185
0;0;0;0;1;0;0;0;2;2907
0;0;0;0;0;0;0;0;0;1164
0;0;0;0;0;0;0;0;2;4291
0;0;0;3;0;0;0;1;0;900
0;0;0;0;0;0;0;0;0;5017
3;0;0;0;0;0;0;1;0;3784
0;3;1;0;0;0;0;0;0;1342
1;0;0;0;0;0;1;0;3;805
0;0;0;0;0;0;0;0;2;3274
0;0;3;0;0;0;0;0;0;4515
0;0;0;0;0;0;0;0;0;5148
1;0;0;1;0;0;0;0;3;4283
0;0;3;0;0;0;0;0;3;887
0;3;0;0;0;0;0;0;0;1166
0;3;0;0;0;0;0;0;0;4394
0;3;0;0;0;0;0;0;0;472
0;2;0;2;0;0;0;0;0;5276
0;1;3;0;0;0;0;0;0;3884
0;3;0;0;0;0;0;1;0;2475
0;3;0;0;0;0;0;0;0;3329
0;1;0;0;0;0;0;0;0;1958
2;0;0;0;0;0;0;0;2;2562
2;0;3;0;0;0;1;0;0;4294
0;0;0;0;0;0;0;0;2;4473
0;0;0;0;0;0;0;0;0;3920
0;0;0;0;1;0;0;0;2;229
1;0;0;0;0;0;0;0;0;1613
0;3;0;0;0;0;0;0;0;5678
3;0;0;0;0;0;0;0;2;4974
0;0;0;1;2;0;0;0;0;4785
0;0;0;0;0;0;0;0;0;3976
0;0;0;3;0;0;0;0;0;2455
0;0;0;0;0;0;0;0;2;1073
0;0;0;0;0;0;0;0;0;4863
0;0;0;0;0;0;0;0;0;1450
3;0;0;0;1;0;0;0;0;3915
0;0;0;0;0;0;0;0;0;1291
0;0;0;0;0;0;0;2;0;3091
0;2;0;0;0;0;0;0;0;1627
0;3;0;0;2;0;0;0;0;764
2;0;0;0;0;0;0;0;0;179
0;0;0;2;1;0;0;0;0;420
3;3;0;0;0;0;0;1;0;145
3;0;0;0;0;0;0;0;2;271
0;3;0;0;0;0;0;0;0;368
1;1;0;0;0;0;0;0;0;624
3;0;0;0;0;0;0;0;0;5423
3;0;0;0;0;0;0;0;0;708
0;0;3;0;0;0;0;0;0;324
0;0;0;0;0;0;0;0;0;351
0;0;0;3;0;0;0;1;0;2906
0;3;0;0;0;0;0;0;0;2449
0;3;0;0;0;0;0;0;0;2505
3;0;0;0;0;0;0;0;0;4318
0;0;0;0;0;0;0;0;2;465
3;0;0;0;0;0;0;0;3;4145
0;3;0;0;0;0;0;1;0;1236
3;0;0;0;0;0;0;0;3;431
1;0;0;0;0;2;0;0;3;4354
0;0;0;0;0;0;0;0;0;5371
3;0;0;0;0;0;0;0;0;1894
3;0;0;0;0;0;0;1;0;2936
2;0;0;0;0;0;0;0;2;2321
0;0;0;0;0;0;0;0;0;3501
1;0;0;0;0;0;0;0;0;1570
0;2;3;0;0;0;0;0;0;946
0;0;0;0;0;0;0;0;0;1809
0;3;0;0;0;0;0;1;0;2004
0;0;3;2;0;0;0;1;0;3092
3;0;0;0;0;0;0;1;3;2612
0;2;2;0;0;0;0;0;0;2741
0;3;0;0;0;0;0;0;0;2003
0;0;3;0;1;0;0;0;0;2839
0;3;0;0;1;0;0;0;0;2966
0;3;0;0;0;0;0;2;0;4534
0;3;0;0;0;0;0;0;0;4196
0;0;0;0;0;0;0;0;0;5020
0;0;0;0;0;0;0;0;0;2386
2;0;0;0;0;0;0;0;3;5104
0;0;1;0;0;0;0;0;0;1110
0;0;0;0;2;0;0;0;0;2539
0;0;0;0;0;0;0;0;0;5059
0;0;0;0;0;0;0;2;0;1300
1;0;0;0;0;0;0;0;0;3148
0;1;0;0;0;0;0;0;0;257
0;0;2;0;0;0;0;0;1;3863
0;0;3;0;0;0;0;0;0;2613
3;0;0;0;0;0;0;0;0;2273
0;0;0;0;0;0;0;0;1;2403
0;3;0;0;0;0;0;0;0;1227
0;0;0;3;0;0;0;0;0;3622
1;0;0;0;0;0;0;0;2;4005
0;0;3;0;0;0;0;0;3;2297
0;0;0;0;0;0;0;0;0;916
1;0;0;0;0;0;0;0;0;4647
0;0;0;0;0;0;0;0;2;4799
0;3;0;0;0;0;0;0;0;517
0;1;0;0;0;0;0;0;0;508
0;3;0;0;0;0;0;0;0;5177
3;0;0;0;0;0;0;0;0;4006
0;0;0;0;0;1;0;0;0;1114
0;0;3;0;0;0;0;0;0;1172
0;1;3;0;0;0;0;0;0;2185
0;3;0;0;0;0;0;0;0;851
3;0;0;0;0;0;0;0;0;3811
0;0;0;0;0;0;0;0;2;4560
0;0;0;0;0;0;0;0;3;159
0;3;0;0;1;0;0;0;0;681
0;0;3;0;0;0;0;0;0;755
0;0;0;0;0;0;0;0;0;2365
3;0;0;0;0;0;0;0;0;3996
3;0;0;0;0;0;0;0;0;2880
0;1;0;0;1;0;0;0;0;1182
0;1;3;0;0;0;0;0;0;3167
0;0;0;0;0;0;0;0;2;4232
0;0;0;0;0;0;0;0;2;3685
0;3;0;0;0;0;0;0;0;2985
3;0;0;0;0;0;0;1;0;101
0;0;3;0;0;0;0;0;0;882
0;3;0;0;0;0;0;0;0;2833
1;0;0;0;0;0;0;0;2;4286
0;0;0;3;0;0;0;1;0;4868
0;0;0;0;0;0;0;0;0;3830
1;1;2;0;1;0;0;2;0;2097
0;0;0;0;0;0;1;0;0;4740
0;0;1;0;0;0;0;0;0;3466
0;3;0;0;0;0;0;0;0;1741
0;0;0;0;0;0;0;0;1;206
0;0;1;0;0;0;0;0;0;2981
0;0;0;3;0;0;0;1;0;251
0;3;0;0;0;0;0;0;0;3734
0;0;0;0;0;0;0;0;0;49
2;0;3;0;0;0;0;0;2;388
1;0;0;0;0;0;0;0;0;4893
2;0;0;0;0;0;0;0;0;1561
0;0;2;0;0;0;0;0;0;3522
2;0;0;0;0;2;0;0;0;4962
0;0;0;0;2;0;0;0;0;3854
0;0;3;0;0;0;0;0;0;5283
0;1;0;0;0;0;0;0;0;3055
0;0;2;3;0;0;0;0;0;3708
1;0;0;0;0;0;0;0;2;5673
0;0;0;0;2;0;0;0;0;3197
0;0;2;0;0;0;1;0;0;2587
0;0;1;0;0;3;0;0;0;579
3;0;0;0;1;0;0;0;0;4355
0;0;3;0;0;0;0;0;0;2272
0;3;0;0;0;0;0;0;0;2540
0;0;0;0;0;0;0;0;0;2627
0;3;0;0;0;0;0;0;0;1607
3;0;0;0;3;0;1;1;0;2171
0;3;0;0;0;0;0;0;0;4853
3;0;0;0;0;0;0;0;0;5459
0;0;0;0;0;0;0;0;2;2294
0;0;0;0;0;0;0;0;0;3191
1;0;0;0;0;0;0;0;0;4371
2;0;0;0;0;0;0;0;3;1531
0;0;3;0;0;0;0;0;0;418
0;0;1;0;0;0;0;0;0;2794
0;3;0;0;0;0;0;0;0;1545
0;0;0;0;0;0;0;1;0;2367
0;3;0;0;0;0;0;1;0;2595
0;3;0;0;0;0;0;0;0;3714
0;0;3;0;0;0;0;0;0;5212
0;0;0;0;0;0;0;0;2;4233
0;0;1;0;0;1;0;0;0;4903
0;0;0;0;0;0;0;0;0;1763
0;0;0;0;0;0;0;0;1;4087
0;0;0;0;0;0;0;1;0;3856
3;0;0;3;0;0;0;1;0;4488
3;0;0;0;0;0;0;0;0;67
0;0;3;0;0;0;0;0;0;270
0;0;3;0;0;0;0;0;0;2622
3;0;3;0;0;0;0;0;0;1352
3;0;0;0;0;0;0;0;0;616
0;3;0;0;0;0;0;0;0;2931
0;3;0;0;0;0;0;0;0;659
0;0;0;0;0;0;0;0;0;3452
3;0;0;0;0;0;0;1;0;3161
0;0;0;0;3;0;0;0;0;3030
0;0;0;0;0;0;0;0;2;3634
0;3;0;0;0;0;0;0;0;1938
0;0;0;0;0;0;0;0;2;4432
3;0;0;0;0;0;0;0;0;3027
3;0;0;0;0;0;0;0;0;4220
3;0;0;0;0;0;0;0;0;570
0;0;3;0;0;0;0;0;0;3568
2;1;0;0;0;0;0;0;0;2569
0;0;3;0;0;0;0;0;0;3667
0;3;0;0;0;0;0;0;0;5748
0;0;0;0;0;0;0;0;2;5367
3;0;0;0;0;0;0;1;0;3500
0;0;3;0;0;0;0;0;0;5026
0;0;0;0;0;0;0;0;0;2129
0;1;0;0;1;0;0;1;0;4499
0;0;0;0;0;0;0;0;2;1058
1;0;0;0;0;3;1;0;0;2094
0;3;0;0;0;0;0;0;0;626
3;0;0;0;0;0;0;1;0;3702
0;3;0;0;0;0;0;0;0;487
0;0;0;0;0;0;0;0;3;4826
0;3;2;0;0;0;0;0;0;3064
0;0;0;0;0;0;1;0;0;1116
0;3;0;0;0;0;0;0;0;2017
3;0;0;0;0;0;0;0;0;4387
0;0;3;0;0;0;0;0;0;5809
3;0;0;0;1;0;0;1;0;1622
3;0;0;0;0;0;0;0;0;824
0;0;0;0;3;0;0;0;0;2709
0;0;1;3;0;0;0;0;0;2193
0;0;0;0;0;0;0;0;2;3103
0;0;0;0;0;0;0;0;0;3900
3;0;0;0;0;0;0;0;0;1165
1;3;0;0;1;0;0;0;0;2932
0;0;0;0;0;0;0;0;0;1779
0;1;0;0;1;0;0;1;0;1467
3;0;0;0;0;0;0;1;0;1272
3;0;0;0;0;0;0;2;0;1671
0;0;0;0;0;0;0;0;2;1572
3;0;0;0;0;0;0;0;0;2519
0;3;0;0;0;0;0;0;0;2044
0;3;0;0;1;0;0;0;0;979
3;0;0;0;0;0;0;0;0;3977
0;0;2;2;0;0;0;0;0;3707
1;0;0;0;0;0;0;0;2;4079
0;0;0;0;0;0;0;2;0;5769
0;3;0;0;0;0;0;0;0;2702
0;0;0;3;1;0;0;1;0;2525
0;0;2;0;0;2;0;0;0;2621
0;3;0;0;0;0;0;2;0;654
0;0;0;0;0;0;0;0;0;322
0;0;0;0;0;0;0;0;0;2137
0;0;0;3;0;0;0;0;0;3297
3;0;0;0;0;0;0;0;0;1472
3;0;0;0;0;0;0;0;2;2005
0;0;0;0;0;0;0;0;0;5151
0;3;2;0;0;0;0;2;0;2186
0;0;0;0;0;0;0;0;3;4127
0;3;0;0;0;0;0;0;0;5751
0;2;0;0;0;0;0;0;0;1542
0;3;0;0;0;0;0;0;0;2506
3;0;2;0;0;0;0;0;0;4511
0;0;0;0;3;0;0;1;0;377
0;1;0;0;2;0;0;1;0;2400
0;0;0;0;0;0;0;1;0;5532
1;0;0;0;0;0;0;0;0;2524
0;0;3;0;0;0;0;0;0;4992
3;0;3;0;0;0;0;0;0;4978
0;0;0;0;3;0;0;0;0;3094
0;2;0;0;0;0;0;0;0;1675
0;1;0;0;1;0;0;0;0;2482
0;1;0;0;1;0;0;1;0;4097
0;1;2;0;1;0;0;0;0;1841
0;3;0;0;0;0;0;0;0;605
0;0;0;3;0;0;0;1;0;4106
0;0;2;0;0;0;0;0;0;1858
0;0;0;0;1;1;0;0;0;2949
0;0;2;0;0;0;0;0;0;1807
0;0;3;0;0;0;0;0;0;5165
0;0;2;0;1;0;0;0;0;1865
0;0;3;0;0;0;0;0;0;2164
0;3;0;0;0;0;0;0;0;4644
0;0;3;0;0;0;0;0;2;309
0;3;0;0;0;0;0;0;0;1962
0;3;0;0;0;0;0;1;0;1944
0;1;0;0;1;0;0;0;0;583
1;0;0;0;0;0;1;1;3;4931
1;0;0;0;0;0;0;0;0;4429
0;3;0;0;0;0;0;0;0;4493
0;3;0;0;0;0;0;0;0;5208
0;0;0;0;0;0;0;0;0;4230
0;0;3;0;0;0;0;0;0;1595
0;3;0;0;0;0;0;0;0;2548
0;0;0;0;2;0;0;1;0;5269
0;0;3;0;0;2;0;0;0;926
0;3;0;0;1;0;0;0;0;2795
0;0;3;0;0;0;0;0;0;2287
0;0;0;0;2;0;0;0;0;1582
0;0;0;3;2;0;0;0;0;2457
1;0;2;0;0;0;0;0;0;1211
0;2;0;0;0;0;0;0;0;5411
2;0;0;0;0;0;0;0;3;929
2;0;0;0;0;1;0;0;2;5629
0;2;0;0;0;0;0;0;0;5200
0;0;3;0;0;0;0;0;0;2179
0;0;0;0;3;0;0;0;0;4258
3;0;0;0;0;0;0;0;0;4125
0;0;0;3;0;0;0;1;0;3841
0;0;0;0;0;0;0;0;2;3871
0;3;0;0;0;0;0;0;0;4395
3;0;0;0;0;0;0;0;0;5139
0;0;3;0;0;0;0;0;0;2418
0;3;0;0;0;0;0;0;0;1793
2;0;0;0;0;0;0;0;2;1829
3;0;0;0;0;0;0;0;0;163
0;1;2;0;0;0;0;0;0;3828
3;0;0;0;0;0;0;0;0;161
3;0;3;0;0;0;0;0;0;3669
0;0;0;0;0;0;0;0;0;154
1;0;3;0;0;0;0;0;0;210
0;0;3;0;0;0;0;0;0;3214
1;0;0;0;0;0;0;0;0;5415
0;0;0;0;0;0;0;0;2;4952
0;3;0;0;0;0;0;0;0;5655
3;0;0;0;0;0;0;0;0;908
3;0;0;0;0;0;0;2;0;644
0;0;3;0;0;0;0;0;0;580
0;0;3;0;0;0;0;0;0;3597
3;0;0;0;2;0;0;0;2;4673
0;0;3;0;3;0;0;0;0;2677
0;2;0;0;0;0;0;0;0;620
3;0;0;0;0;0;1;0;0;5448
0;0;0;3;0;0;0;2;0;2764
0;3;0;0;0;0;0;0;0;1009
0;0;1;0;1;0;0;0;0;2324
0;0;0;0;1;0;0;0;0;4431
0;3;0;0;0;0;0;0;0;3077
3;0;1;0;0;0;0;0;2;4901
0;3;0;0;0;0;0;0;0;5346
0;0;1;0;3;0;0;2;0;1251
0;3;0;0;0;0;0;0;0;5419
0;0;0;0;0;0;0;0;1;2349
0;0;3;0;0;0;0;0;0;3004
1;0;0;0;0;0;0;0;0;1949
0;0;3;0;0;0;0;0;0;2202
0;3;0;0;0;0;0;1;0;5182
1;0;0;0;3;0;0;0;0;5138
0;3;0;0;0;0;0;1;0;1259
1;3;0;0;0;0;0;0;0;2717
0;0;0;0;1;0;0;0;0;152
3;3;0;0;0;0;0;1;0;2925
0;3;0;0;0;0;0;0;0;3935
0;3;0;0;0;0;0;0;0;3946
0;0;2;0;0;1;0;0;0;1347
0;0;0;0;0;0;0;0;2;3582
0;0;0;3;3;0;0;0;0;393
0;1;0;0;0;0;0;0;0;2110
